	ref_run	Ref_for_bioinformatic	ref_mycea	year	region	terroir	city	parcel	practice	lat	long	cultural_practice	rank	inter_rank	soil_practice	irrigation	compartment	spores_rep1	spores_rep2	spores_rep3	spores_rep1_viable	spores_rep2_viable	spores_rep3_viable	Coarse_sand	Fine_sand	Total_sand	Coarse_silt	Fine_silt	Total_filt	Total_clay	Total_lime	ph	C	SOM	N	C_N	Cu	P2O5	CaO	MgO	K20	Na20	CEC	Myc_freq1	Myc_intensity_root1	Myc_intensity_colonization1	Arbuscul_richness1	Arbuscul_abundance_root1	Vesicle_richness1	Vesicle_abundance_root1	Myc_freq2	Myc_intensity_root2	Myc_intensity_colonization2	Arbuscul_richness2	Arbuscul_abundance_root2	Vesicle_richness2	Vesicle_abundance_root2	Myc_freq3	Myc_intensity_root3	Myc_intensity_colonization3	Arbuscul_richness3	Arbuscul_abundance_root3	Vesicle_richness3	Vesicle_abundance_root3
23MET2435	23lib38	23MET2435	BSS230621	2023	Champagne	Côte des Blancs	Chetillons	Chetillons Desh sous rang_plein chimique	Conventional	4.034283	48.945738	Conventional	Herbicide	Herbicide	Herbicide	FALSE	Spores	9391.20758765827	8422.86638585306	8568.88573563298	232.839857545246	319.047969161101	216.022329469739	NA	NA	NA	NA	NA	NA	NA	NA							NA						NA	NA			NA		NA														
23MET2436	23lib38	23MET2436	BSS230620	2023	Champagne	Côte des Blancs	Chetillons	Chetillons Travail sol mecanique sous rang	Organic	4.034459	48.945714	Organic grassed	Scratching	Grassing	Grassing	FALSE	Spores	23340.0654927168	23383.9951109768	24749.4871284883	1167.00327463584	1157.62352034538	1022.7060796896	NA	NA	NA	NA	NA	NA	NA	NA							NA						NA	NA			NA		NA														
23MET2437	23lib38	23MET2437	BSS230619	2023	Champagne	Côte des Blancs	Chetillons	Chetillons Ecorces	Conventional	4.034333	48.945724	Conventional	Herbicide	Grassing	Herbicide	FALSE	Spores	14023.2572705067	15383.8439664702	14359.8683740811	1228.31450544584	891.817041534506	1497.65498379987	NA	NA	NA	NA	NA	NA	NA	NA							NA						NA	NA			NA		NA														
23MET2438	23lib38	23MET2438	BSS230618	2023	Champagne	Côte des Blancs	Cramant	BIONNES JEB	Conversion	4.018985	48.988723	Conversion	Scratching	Grassing	Grassing	FALSE	Spores	9971.47876315703	10088.7201435927	10569.9691761168	415.478281798209	657.960009364742	720.679716553419	NA	NA	NA	NA	NA	NA	NA	NA							NA						NA	NA			NA		NA														
23MET2439	23lib38	23MET2439	BSS230617	2023	Champagne	Côte des Blancs	Cramant	BATEAU AN39 JEB	Conversion	4.021354	48.995715	Conversion	Scratching	Grassing	Grassing	FALSE	Spores	16475.3434657168	16952.9099781761	15688.2105318256	1158.42258743321	763.644593611535	1045.88070212171	NA	NA	NA	NA	NA	NA	NA	NA							NA						NA	NA			NA		NA														
23MET2440	23lib38	23MET2440	BSS230616	2023	Champagne	Côte des Blancs	Cramant	TDB AM29 JEB	Conversion	4.016860	48.996831	Conversion	Scratching	Grassing	Grassing	FALSE	Spores	17834.4209285222	16444.7165082408	15230.6565779839	1181.08747871008	1011.98255435328	719.558578487428	NA	NA	NA	NA	NA	NA	NA	NA							NA						NA	NA			NA		NA														
23MET2444	23lib38	23MET2444	BSS230627	2023	Champagne	Côte des Blancs	Mireaux	Les MIREAUX JEB	Conversion	3.994317	48.984151	Conversion	Scratching	Grassing	Grassing	FALSE	Spores	14285.0446988699	13754.7264589564	13020.9508683934	1264.1632476876	1156.93960869727	944.524933458587	NA	NA	NA	NA	NA	NA	NA	NA							NA						NA	NA			NA		NA														
23MET2445	23lib38	23MET2445	BSS230626	2023	Champagne	Côte des Blancs	Mireaux	JEB VOISIN 2 MIREAUX	Conventional	3.994319	48.984222	Conventional	Herbicide	Grassing	Herbicide	FALSE	Spores	8832.73771577089	9477.31387958218	8693.52299355595	1442.07962706464	1332.74726431624	1317.20045356908	NA	NA	NA	NA	NA	NA	NA	NA							NA						NA	NA			NA		NA														
23MET2446	23lib38	23MET2446	BSS230625	2023	Champagne	Côte des Blancs	Mireaux	JEB VOISIN 1 MIREAUX DESSOUS	Conventional	3.994335	48.984188	Conventional	Herbicide	Herbicide	Herbicide	FALSE	Spores	8904.97774170168	8187.50217056372	9331.10396202128	356.199109668067	349.466556060647	417.032579308214	NA	NA	NA	NA	NA	NA	NA	NA							NA						NA	NA			NA		NA														
23MET2447	23lib38	23MET2447	BSS230624	2023	Champagne	Côte des Blancs	Avize	AVIZE Desh chimique en plein	Conventional	4.014914	48.976412	Conventional	Herbicide	Herbicide	Herbicide	FALSE	Spores	15149.8153161293	16669.5301977523	14648.9275539621	1343.93522965663	1201.40758181998	1311.84425856377	NA	NA	NA	NA	NA	NA	NA	NA							NA						NA	NA			NA		NA														
VA10	20LIB06	VA10	VA10	2020	Champagne	Côte des Bar	Les Riceys	Conversion	Conversion	4.352575	48.009496	Conversion	Scratching	Scratching	Scratching	FALSE	Spores	4001.112	3705.948	3410.784				141	53	194	228	330	558	248	632	8.2	15.6	26.832	1.48	10.5405405405405	22.3	205		203.112	384.807	11.78	11.1	87.5	14.81	16.93	56.54	8.38	2.11	0.31	93.75	13.81	14.73	60	8.29	5.88	0.81	100	12.81	12.81	57.56	7.38	31.71	4.06
VA18	20LIB06	VA18	VA18	2020	Champagne	Côte des Bar	Celles sur Ources	Organic weeded	Organic	4.424771	48.083533	Organic weeded	Scratching	Scratching	Scratching	FALSE	Spores	4715.172	4041.576	4362.336				153	46	199	71	318	389	412	474	8.1	23.8	40.936	2.4	9.91666666666667	61.8	307		384.2605	903.378	14.57	18.6	100	26.69	26.69	74.64	19.92	48.95	13.06	100	16.63	16.63	87.03	14.47	66.17	11	100	16.53	16.53	80.25	13.26	24.38	4.03
VA2	20LIB06	VA2	VA2	2020	Champagne	Côte des Bar	Les Riceys	Conventional	Conventional	4.392132	48.009899	Conventional	Herbicide	Scratching	Herbicide	FALSE	Spores	1754.724	2052.696	1887.156				189	41	230	126	319	445	325	403	8.1	20.9	35.948	1.92	10.8854166666667	11.9	249		275.4505	652.335	17.36	14.8	100	9.19	9.19	17.48	1.61	3.74	0.34	100	13.88	13.88	72.34	10.04	12.43	1.73	100	17	17	56.47	9.6	6.07	1.03
VA26	20LIB06	VA26	VA26	2020	Champagne	Côte des Bar	Bragelogne	Organic grassed	Organic	4.257326	47.977786	Organic grassed	Grassing	Grassing	Grassing	FALSE	Spores	4323.588	4357.632	4834.248				110	23	133	209	249	458	409	158	8.1	22.3	38.356	2.14	10.4205607476636	88.2	210		401.9925	682.479	13.33	20.7	100	19.06	19.06	49.34	9.41	13.93	2.66	93.75	16.56	17.67	79.81	13.22	10.75	1.78	93.75	20.38	21.73	44.36	9.04	25.77	5.25
VAA1	20LIB06	VAA1	VAA1	2020	Champagne	Côte des Bar	Les Riceys	Conventional	Conventional	4.392132	48.009899	Conventional	Herbicide	Scratching	Herbicide	FALSE	Roots							189	41	230	126	319	445	325	403	8.1	20.9	35.948	1.92	10.8854166666667	11.9	249		275.4505	652.335	17.36	14.8	100	9.19	9.19	17.48	1.61	3.74	0.34	100	13.88	13.88	72.34	10.04	12.43	1.73	100	17	17	56.47	9.6	6.07	1.03
VAA2	20LIB06	VAA2	VAA2	2020	Champagne	Côte des Bar	Les Riceys	Conversion	Conversion	4.352575	48.009496	Conversion	Scratching	Scratching	Scratching	FALSE	Roots							141	53	194	228	330	558	248	632	8.2	15.6	26.832	1.48	10.5405405405405	22.3	205		203.112	384.807	11.78	11.1	87.5	14.81	16.93	56.54	8.38	2.11	0.31	93.75	13.81	14.73	60	8.29	5.88	0.81	100	12.81	12.81	57.56	7.38	31.71	4.06
VAA3	20LIB06	VAA3	VAA3	2020	Champagne	Côte des Bar	Celles sur Ources	Organic weeded	Organic	4.424771	48.083533	Organic weeded	Scratching	Scratching	Scratching	FALSE	Roots							153	46	199	71	318	389	412	474	8.1	23.8	40.936	2.4	9.91666666666667	61.8	307		384.2605	903.378	14.57	18.6	100	26.69	26.69	74.64	19.92	48.95	13.06	100	16.63	16.63	87.03	14.47	66.17	11	100	16.53	16.53	80.25	13.26	24.38	4.03
VAA4	20LIB06	VAA4	VAA4	2020	Champagne	Côte des Bar	Bragelogne	Organic grassed	Organic	4.257326	47.977786	Organic grassed	Grassing	Grassing	Grassing	FALSE	Roots							110	23	133	209	249	458	409	158	8.1	22.3	38.356	2.14	10.4205607476636	88.2	210		401.9925	682.479	13.33	20.7	100	19.06	19.06	49.34	9.41	13.93	2.66	93.75	16.56	17.67	79.81	13.22	10.75	1.78	93.75	20.38	21.73	44.36	9.04	25.77	5.25
VAB1	20LIB06	VAB1	VAB1	2020	Champagne	Côte des Bar	Les Riceys	Conventional	Conventional	4.392132	48.009899	Conventional	Herbicide	Scratching	Herbicide	FALSE	Mycelium							189	41	230	126	319	445	325	403	8.1	20.9	35.948	1.92	10.8854166666667	11.9	249		275.4505	652.335	17.36	14.8	100	9.19	9.19	17.48	1.61	3.74	0.34	100	13.88	13.88	72.34	10.04	12.43	1.73	100	17	17	56.47	9.6	6.07	1.03
VAB3	20LIB06	VAB3	VAB3	2020	Champagne	Côte des Bar	Celles sur Ources	Organic weeded	Organic	4.424771	48.083533	Organic weeded	Scratching	Scratching	Scratching	FALSE	Mycelium							153	46	199	71	318	389	412	474	8.1	23.8	40.936	2.4	9.91666666666667	61.8	307		384.2605	903.378	14.57	18.6	100	26.69	26.69	74.64	19.92	48.95	13.06	100	16.63	16.63	87.03	14.47	66.17	11	100	16.53	16.53	80.25	13.26	24.38	4.03
VAB4	20LIB06	VAB4	VAB4	2020	Champagne	Côte des Bar	Bragelogne	Organic grassed	Organic	4.257326	47.977786	Organic grassed	Grassing	Grassing	Grassing	FALSE	Mycelium							110	23	133	209	249	458	409	158	8.1	22.3	38.356	2.14	10.4205607476636	88.2	210		401.9925	682.479	13.33	20.7	100	19.06	19.06	49.34	9.41	13.93	2.66	93.75	16.56	17.67	79.81	13.22	10.75	1.78	93.75	20.38	21.73	44.36	9.04	25.77	5.25
VCM10	20LIB06	VCM10	VCM10	2020	Bourgogne	Mercurey	Mercurey	Conversion	Conversion	4.723623	46.836454	Conversion	Scratching	Scratching	Scratching	FALSE	Spores	5408.34	5043.36	4910.64				139	59	198	180	256	436	366	284	8.1	17.8	30.616	1.81	9.83425414364641	71.7	515		314.34	976.383	10.54	18.1	68.75	2.44	3.55	53.59	1.31	14.87	0.36	75	6.63	8.83	35.94	2.38	3.77	0.25	68.75	4.5	6.55	71.11	3.2	23.75	1.07
VCM18	20LIB06	VCM18	VCM18	2020	Bourgogne	Mercurey	Mercurey	Organic weeded	Organic	4.723056	46.837691	Organic weeded	Scratching	Scratching	Scratching	FALSE	Spores	5492.688	5124.276	5191.26				83	40	123	171	252	423	454	134	8	21.7	37.324	1.87	11.6042780748663	62.4	322		352.222	987.687	14.57	24.1	87.5	14.69	16.79	47.87	7.03	23.19	3.41	100	17.56	17.56	81.53	14.32	35.41	6.22	93.75	19.06	20.33	63.44	12.09	35.9	6.84
VCM2	20LIB06	VCM2	VCM2	2020	Bourgogne	Mercurey	Mercurey	Conventional	Conventional	4.724273	46.834108	Conventional	Herbicide	Scratching	Herbicide	FALSE	Spores	3552.336	4078.608	3486.552				116	55	171	227	277	504	325	442	8.2	17.3	29.756	1.66	10.421686746988	60.9	133		277.0625	550.128	12.71	16.5	87.5	3.13	3.57	57.4	1.79	2.6	0.08	81.25	8.25	10.15	41.36	3.41	8.79	0.73	75	3.25	4.33	40.77	1.33	4.23	0.14
VCM26	20LIB06	VCM26	VCM26	2020	Bourgogne	Mercurey	Mercurey	Organic grassed	Organic	4.724273	46.834108	Organic grassed	Scratching	Grassing	Grassing	FALSE	Spores	4853.04	4587.12	4055.28				99	56	155	111	240	351	494	126	7.9	24.9	42.828	2.24	11.1160714285714	118.2	960		318.37	1048.917	15.5	21.9	93.75	18.13	19.33	72.93	13.22	30.52	5.53	100	36.25	36.25	60.86	22.06	35.52	12.88	100	35.31	35.31	36.37	12.84	19.56	6.91
VCMA1	20LIB06	VCMA1	VCMA1	2020	Bourgogne	Mercurey	Mercurey	Conventional	Conventional	4.724273	46.834108	Conventional	Herbicide	Scratching	Herbicide	FALSE	Roots							116	55	171	227	277	504	325	442	8.2	17.3	29.756	1.66	10.421686746988	60.9	133		277.0625	550.128	12.71	16.5	87.5	3.13	3.57	57.4	1.79	2.6	0.08	81.25	8.25	10.15	41.36	3.41	8.79	0.73	75	3.25	4.33	40.77	1.33	4.23	0.14
VCMA2	20LIB06	VCMA2	VCMA2	2020	Bourgogne	Mercurey	Mercurey	Conversion	Conversion	4.723623	46.836454	Conversion	Scratching	Scratching	Scratching	FALSE	Roots							139	59	198	180	256	436	366	284	8.1	17.8	30.616	1.81	9.83425414364641	71.7	515		314.34	976.383	10.54	18.1	68.75	2.44	3.55	53.59	1.31	14.87	0.36	75	6.63	8.83	35.94	2.38	3.77	0.25	68.75	4.5	6.55	71.11	3.2	23.75	1.07
VCMA3	20LIB06	VCMA3	VCMA3	2020	Bourgogne	Mercurey	Mercurey	Organic weeded	Organic	4.723056	46.837691	Organic weeded	Scratching	Scratching	Scratching	FALSE	Roots							83	40	123	171	252	423	454	134	8	21.7	37.324	1.87	11.6042780748663	62.4	322		352.222	987.687	14.57	24.1	87.5	14.69	16.79	47.87	7.03	23.19	3.41	100	17.56	17.56	81.53	14.32	35.41	6.22	93.75	19.06	20.33	63.44	12.09	35.9	6.84
VCMA4	20LIB06	VCMA4	VCMA4	2020	Bourgogne	Mercurey	Mercurey	Organic grassed	Organic	4.724273	46.834108	Organic grassed	Scratching	Grassing	Grassing	FALSE	Roots							99	56	155	111	240	351	494	126	7.9	24.9	42.828	2.24	11.1160714285714	118.2	960		318.37	1048.917	15.5	21.9	93.75	18.13	19.33	72.93	13.22	30.52	5.53	100	36.25	36.25	60.86	22.06	35.52	12.88	100	35.31	35.31	36.37	12.84	19.56	6.91
VCMB1	20LIB06	VCMB1	VCMB1	2020	Bourgogne	Mercurey	Mercurey	Conventional	Conventional	4.724273	46.834108	Conventional	Herbicide	Scratching	Herbicide	FALSE	Mycelium							116	55	171	227	277	504	325	442	8.2	17.3	29.756	1.66	10.421686746988	60.9	133		277.0625	550.128	12.71	16.5	87.5	3.13	3.57	57.4	1.79	2.6	0.08	81.25	8.25	10.15	41.36	3.41	8.79	0.73	75	3.25	4.33	40.77	1.33	4.23	0.14
VCMB2	20LIB06	VCMB2	VCMB2	2020	Bourgogne	Mercurey	Mercurey	Conversion	Conversion	4.723623	46.836454	Conversion	Scratching	Scratching	Scratching	FALSE	Mycelium							139	59	198	180	256	436	366	284	8.1	17.8	30.616	1.81	9.83425414364641	71.7	515		314.34	976.383	10.54	18.1	68.75	2.44	3.55	53.59	1.31	14.87	0.36	75	6.63	8.83	35.94	2.38	3.77	0.25	68.75	4.5	6.55	71.11	3.2	23.75	1.07
VCMB4	20LIB06	VCMB4	VCMB4	2020	Bourgogne	Mercurey	Mercurey	Organic grassed	Organic	4.724273	46.834108	Organic grassed	Scratching	Grassing	Grassing	FALSE	Mycelium							99	56	155	111	240	351	494	126	7.9	24.9	42.828	2.24	11.1160714285714	118.2	960		318.37	1048.917	15.5	21.9	93.75	18.13	19.33	72.93	13.22	30.52	5.53	100	36.25	36.25	60.86	22.06	35.52	12.88	100	35.31	35.31	36.37	12.84	19.56	6.91
VG10	20LIB06	VG10	VG10	2020	Rhône	Gigondas	Gigondas	Conversion	Conversion	5.036597	44.204759	Conversion	Scratching	Scratching	Scratching	FALSE	Spores	10932.096	10734.528	9944.256				153	63	216	75	255	330	454	218	8.3	24	41.28	2.06	11.6504854368932	47.3	151		334.49	558.135	8.68	24.1	100	9.44	9.44	87.09	8.22	3.31	0.31	100	11	11	94.03	10.34	2.84	0.31	100	9.19	9.19	90.88	8.34	5.1	0.47
VG18	20LIB06	VG18	VG18	2020	Rhône	Gigondas	Gigondas	Organic weeded	Organic	5.037874	44.204845	Organic weeded	Scratching	Scratching	Scratching	FALSE	Spores	12597.636	14538.264	13518.612				60	71	131	73	412	485	384	75	8.3	20.3	34.916	1.64	12.3780487804878	29.3	95		390.7085	500.673	19.22	20	100	24.38	24.38	86.3	12.41	60	8.63	100	16.88	16.88	93.89	15.84	53.52	9.03	100	23.67	23.67	93.66	22.17	80.28	19
VG2	20LIB06	VG2	VG2	2020	Rhône	Gigondas	Gigondas	Conventional	Conventional	5.043139	44.202317	Conventional	Herbicide	Grassing	Herbicide	FALSE	Spores	8383.68	9235.68	8588.16				47	124	171	123	389	512	317	90	8.4	15.9	27.348	1.34	11.865671641791	16.3	74		246.8375	353.721	11.78	13.9	100	13.88	13.88	79.55	11.04	11.49	1.59	100	12.56	12.56	92.34	11.6	12.69	1.59	100	14.13	14.13	86.73	12.25	16.59	2.34
VG26	20LIB06	VG26	VG26	2020	Rhône	Gigondas	Gigondas	Organic grassed	Organic	5.043463	44.201088	Organic grassed	Grassing	Grassing	Grassing	FALSE	Spores	16569.792	16473.456	16248.672				36	81	117	220	421	641	242	90	8.2	18	30.96	1.43	12.5874125874126	28.8	70		264.5695	315.57	13.64	15.4	100	27.5	37.5	94.66	26.03	52.73	14.5	100	34.44	34.44	95.75	32.98	57.44	19.78	100	45.94	45.94	95.24	43.75	61.02	28.03
VGA1	20LIB06	VGA1	VGA1	2020	Rhône	Gigondas	Gigondas	Conventional	Conventional	5.043139	44.202317	Conventional	Herbicide	Grassing	Herbicide	FALSE	Roots							47	124	171	123	389	512	317	90	8.4	15.9	27.348	1.34	11.865671641791	16.3	74		246.8375	353.721	11.78	13.9	100	13.88	13.88	79.55	11.04	11.49	1.59	100	12.56	12.56	92.34	11.6	12.69	1.59	100	14.13	14.13	86.73	12.25	16.59	2.34
VGA2	20LIB06	VGA2	VGA2	2020	Rhône	Gigondas	Gigondas	Conversion	Conversion	5.036597	44.204759	Conversion	Scratching	Scratching	Scratching	FALSE	Roots							153	63	216	75	255	330	454	218	8.3	24	41.28	2.06	11.6504854368932	47.3	151		334.49	558.135	8.68	24.1	100	9.44	9.44	87.09	8.22	3.31	0.31	100	11	11	94.03	10.34	2.84	0.31	100	9.19	9.19	90.88	8.34	5.1	0.47
VGA3	20LIB06	VGA3	VGA3	2020	Rhône	Gigondas	Gigondas	Organic weeded	Organic	5.037874	44.204845	Organic weeded	Scratching	Scratching	Scratching	FALSE	Roots							60	71	131	73	412	485	384	75	8.3	20.3	34.916	1.64	12.3780487804878	29.3	95		390.7085	500.673	19.22	20	100	24.38	24.38	86.3	12.41	60	8.63	100	16.88	16.88	93.89	15.84	53.52	9.03	100	23.67	23.67	93.66	22.17	80.28	19
VGA4	20LIB06	VGA4	VGA4	2020	Rhône	Gigondas	Gigondas	Organic grassed	Organic	5.043463	44.201088	Organic grassed	Grassing	Grassing	Grassing	FALSE	Roots							36	81	117	220	421	641	242	90	8.2	18	30.96	1.43	12.5874125874126	28.8	70		264.5695	315.57	13.64	15.4	100	27.5	37.5	94.66	26.03	52.73	14.5	100	34.44	34.44	95.75	32.98	57.44	19.78	100	45.94	45.94	95.24	43.75	61.02	28.03
VGB1	20LIB06	VGB1	VGB1	2020	Rhône	Gigondas	Gigondas	Conventional	Conventional	5.043139	44.202317	Conventional	Herbicide	Grassing	Herbicide	FALSE	Mycelium							47	124	171	123	389	512	317	90	8.4	15.9	27.348	1.34	11.865671641791	16.3	74		246.8375	353.721	11.78	13.9	100	13.88	13.88	79.55	11.04	11.49	1.59	100	12.56	12.56	92.34	11.6	12.69	1.59	100	14.13	14.13	86.73	12.25	16.59	2.34
VGB2	20LIB06	VGB2	VGB2	2020	Rhône	Gigondas	Gigondas	Conversion	Conversion	5.036597	44.204759	Conversion	Scratching	Scratching	Scratching	FALSE	Mycelium							153	63	216	75	255	330	454	218	8.3	24	41.28	2.06	11.6504854368932	47.3	151		334.49	558.135	8.68	24.1	100	9.44	9.44	87.09	8.22	3.31	0.31	100	11	11	94.03	10.34	2.84	0.31	100	9.19	9.19	90.88	8.34	5.1	0.47
VGB3	20LIB06	VGB3	VGB3	2020	Rhône	Gigondas	Gigondas	Organic weeded	Organic	5.037874	44.204845	Organic weeded	Scratching	Scratching	Scratching	FALSE	Mycelium							60	71	131	73	412	485	384	75	8.3	20.3	34.916	1.64	12.3780487804878	29.3	95		390.7085	500.673	19.22	20	100	24.38	24.38	86.3	12.41	60	8.63	100	16.88	16.88	93.89	15.84	53.52	9.03	100	23.67	23.67	93.66	22.17	80.28	19
VGB4	20LIB06	VGB4	VGB4	2020	Rhône	Gigondas	Gigondas	Organic grassed	Organic	5.043463	44.201088	Organic grassed	Grassing	Grassing	Grassing	FALSE	Mycelium							36	81	117	220	421	641	242	90	8.2	18	30.96	1.43	12.5874125874126	28.8	70		264.5695	315.57	13.64	15.4	100	27.5	37.5	94.66	26.03	52.73	14.5	100	34.44	34.44	95.75	32.98	57.44	19.78	100	45.94	45.94	95.24	43.75	61.02	28.03
VL10	20LIB06	VL10	VL10	2020	Bordelais	Langoiran	Langoiran	Conversion	Conversion	-0.385228	44.70705	Conversion	Scratching	Grassing	Grassing	FALSE	Spores	3562.704	3826.608	3232.824				241	114	355	283	161	444	201	0	6.9	15.3	26.316	1.42	10.7746478873239	49.2	237	2522.818	197.47	343.359	18.29	10.6	81.25	5.13	6.31	69.15	3.54	20.73	1.06	87.5	5.19	5.93	66.51	3.45	6.14	0.32	87.5	6.75	7.71	83.8	5.66	7.5	0.51
VL18	20LIB06	VL18	VL18	2020	Bordelais	Langoiran	Langoiran	Conventional	Conventional	-0.384545	44.702874	Conventional	Scratching	Grassing	Grassing	FALSE	Spores	3654.336	3523.824	3850.104				274	116	390	274	162	436	174	0	6.7	15.1	25.972	1.45	10.4137931034483	87.6	234	2456.221	200.4925	224.667	15.81	9.2	87.5	3.38	3.86	56.67	1.91	3.7	0.13	87.5	4.69	5.36	75.73	3.55	22.27	1.04	87.5	7	8	74.11	5.19	65.63	4.59
VL2	20LIB06	VL2	VL2	2020	Bordelais	Langoiran	Langoiran	Conventional chimique	Conventional	-0.356503	44.713204	Conventional	Herbicide	Herbicide	Herbicide	FALSE	Spores	1694.16	1498.68	1368.36				307	71	378	286	136	422	200	0	5.5	6.5	11.18	0.8	8.125	42.5	147	1067.238	125.333	349.482	13.33	7	81.25	2.56	3.15	44.63	1.14	3.66	0.09	81.25	4.88	6	65.38	3.19	5.77	0.28	81.25	4.88	6	60.51	2.95	21.41	1.04
VL26	20LIB06	VL26	VL26	2020	Bordelais	Langoiran	Langoiran	Organic grassed	Organic	-0.382171	44.705779	Organic grassed	Scratching	Grassing	Grassing	FALSE	Spores	3952.344	4180.992	4670.952				166	95	261	359	192	551	188	0	6.6	14	24.08	1.46	9.58904109589041	77.4	143	2443.014	322.803	344.301	20.77	10.6	93.75	9.38	10	87.33	8.19	23.33	2.19	100	7.88	11	71.03	5.59	25	1.97	100	7.63	11	80.74	6.16	50.41	3.84
VL34	20LIB06	VL34	VL34	2020	Bordelais	Langoiran	Langoiran	Conventional Terra Vitis	Conventional	-0.376892	44.705511	Organic grassed	Scratching	Grassing	Grassing	FALSE	Spores	3847.272	4108.104	3619.044				178	120	298	344	175	519	183	0	6.3	9.9	17.028	0.92	10.7608695652174	31.9	110	1897.874	208.5525	140.358	17.98	7.7	100	10.75	10.75	63.95	6.88	3.2	0.34	93.75	15.69	16.73	90.28	14.16	55.42	8.69	93.75	9.13	9.73	78.77	7.19	45.62	4.16
VLA1	20LIB06	VLA1	VLA1	2020	Bordelais	Langoiran	Langoiran	Conventional chimique	Conventional	-0.356503	44.713204	Conventional	Herbicide	Herbicide	Herbicide	FALSE	Roots							307	71	378	286	136	422	200	0	5.5	6.5	11.18	0.8	8.125	42.5	147	1067.238	125.333	349.482	13.33	7	81.25	2.56	3.15	44.63	1.14	3.66	0.09	81.25	4.88	6	65.38	3.19	5.77	0.28	81.25	4.88	6	60.51	2.95	21.41	1.04
VLA2	20LIB06	VLA2	VLA2	2020	Bordelais	Langoiran	Langoiran	Conversion	Conversion	-0.385228	44.70705	Conversion	Scratching	Grassing	Grassing	FALSE	Roots							241	114	355	283	161	444	201	0	6.9	15.3	26.316	1.42	10.7746478873239	49.2	237	2522.818	197.47	343.359	18.29	10.6	81.25	5.13	6.31	69.15	3.54	20.73	1.06	87.5	5.19	5.93	66.51	3.45	6.14	0.32	87.5	6.75	7.71	83.8	5.66	7.5	0.51
VLA3	20LIB06	VLA3	VLA3	2020	Bordelais	Langoiran	Langoiran	Conventional	Conventional	-0.384545	44.702874	Conventional	Scratching	Grassing	Grassing	FALSE	Roots							274	116	390	274	162	436	174	0	6.7	15.1	25.972	1.45	10.4137931034483	87.6	234	2456.221	200.4925	224.667	15.81	9.2	87.5	3.38	3.86	56.67	1.91	3.7	0.13	87.5	4.69	5.36	75.73	3.55	22.27	1.04	87.5	7	8	74.11	5.19	65.63	4.59
VLA4	20LIB06	VLA4	VLA4	2020	Bordelais	Langoiran	Langoiran	Organic grassed	Organic	-0.382171	44.705779	Organic grassed	Scratching	Grassing	Grassing	FALSE	Roots							166	95	261	359	192	551	188	0	6.6	14	24.08	1.46	9.58904109589041	77.4	143	2443.014	322.803	344.301	20.77	10.6	93.75	9.38	10	87.33	8.19	23.33	2.19	100	7.88	11	71.03	5.59	25	1.97	100	7.63	11	80.74	6.16	50.41	3.84
VLA5	20LIB06	VLA5	VLA5	2020	Bordelais	Langoiran	Langoiran	Conventional Terra Vitis	Conventional	-0.376892	44.705511	Organic grassed	Scratching	Grassing	Grassing	FALSE	Roots							178	120	298	344	175	519	183	0	6.3	9.9	17.028	0.92	10.7608695652174	31.9	110	1897.874	208.5525	140.358	17.98	7.7	100	10.75	10.75	63.95	6.88	3.2	0.34	93.75	15.69	16.73	90.28	14.16	55.42	8.69	93.75	9.13	9.73	78.77	7.19	45.62	4.16
VLB1	20LIB06	VLB1	VLB1	2020	Bordelais	Langoiran	Langoiran	Conventional chimique	Conventional	-0.356503	44.713204	Conventional	Herbicide	Herbicide	Herbicide	FALSE	Mycelium							307	71	378	286	136	422	200	0	5.5	6.5	11.18	0.8	8.125	42.5	147	1067.238	125.333	349.482	13.33	7	81.25	2.56	3.15	44.63	1.14	3.66	0.09	81.25	4.88	6	65.38	3.19	5.77	0.28	81.25	4.88	6	60.51	2.95	21.41	1.04
VLB2	20LIB06	VLB2	VLB2	2020	Bordelais	Langoiran	Langoiran	Conversion	Conversion	-0.385228	44.70705	Conversion	Scratching	Grassing	Grassing	FALSE	Mycelium							241	114	355	283	161	444	201	0	6.9	15.3	26.316	1.42	10.7746478873239	49.2	237	2522.818	197.47	343.359	18.29	10.6	81.25	5.13	6.31	69.15	3.54	20.73	1.06	87.5	5.19	5.93	66.51	3.45	6.14	0.32	87.5	6.75	7.71	83.8	5.66	7.5	0.51
VLB3	20LIB06	VLB3	VLB3	2020	Bordelais	Langoiran	Langoiran	Conventional	Conventional	-0.384545	44.702874	Conventional	Scratching	Grassing	Grassing	FALSE	Mycelium							274	116	390	274	162	436	174	0	6.7	15.1	25.972	1.45	10.4137931034483	87.6	234	2456.221	200.4925	224.667	15.81	9.2	87.5	3.38	3.86	56.67	1.91	3.7	0.13	87.5	4.69	5.36	75.73	3.55	22.27	1.04	87.5	7	8	74.11	5.19	65.63	4.59
VLB5	20LIB06	VLB5	VLB5	2020	Bordelais	Langoiran	Langoiran	Conventional Terra Vitis	Conventional	-0.376892	44.705511	Organic grassed	Scratching	Grassing	Grassing	FALSE	Mycelium							178	120	298	344	175	519	183	0	6.3	9.9	17.028	0.92	10.7608695652174	31.9	110	1897.874	208.5525	140.358	17.98	7.7	100	10.75	10.75	63.95	6.88	3.2	0.34	93.75	15.69	16.73	90.28	14.16	55.42	8.69	93.75	9.13	9.73	78.77	7.19	45.62	4.16
